2025-07-22 01:13:24.989102 1, {'chunk_seconds': 2, 'num_freqs': 9, 'num_estimators': 8, 'max_depth': 64} 0.07199195085745622
2025-07-22 01:16:46.551585 2, {'chunk_seconds': 2, 'num_freqs': 3, 'num_estimators': 64, 'max_depth': 16} 0.05854504658753914
2025-07-22 01:20:12.873024 3, {'chunk_seconds': 2, 'num_freqs': 3, 'num_estimators': 16, 'max_depth': 8} 0.03985997732147003
2025-07-22 01:23:32.620830 4, {'chunk_seconds': 2, 'num_freqs': 4, 'num_estimators': 8, 'max_depth': 8} 0.03675689534227951
2025-07-22 01:26:52.259905 5, {'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 32, 'max_depth': 64} 0.0792825630939288
2025-07-22 01:30:14.244885 6, {'chunk_seconds': 3, 'num_freqs': 4, 'num_estimators': 8, 'max_depth': 32} 0.07568669227155563
2025-07-22 01:33:32.880343 7, {'chunk_seconds': 3, 'num_freqs': 7, 'num_estimators': 128, 'max_depth': 16} 0.06404087944361699
2025-07-22 01:37:00.711480 8, {'chunk_seconds': 1, 'num_freqs': 10, 'num_estimators': 128, 'max_depth': 128} 0.06556180700624377
2025-07-22 01:40:30.727256 9, {'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 64, 'max_depth': 32} 0.06528406671000617
2025-07-22 01:43:54.203537 10, {'chunk_seconds': 1, 'num_freqs': 1, 'num_estimators': 32, 'max_depth': 64} 0.047696710928187724
2025-07-22 01:47:14.396441 11, {'chunk_seconds': 3, 'num_freqs': 7, 'num_estimators': 32, 'max_depth': 32} 0.07122431345852567
2025-07-22 01:50:35.444949 12, {'chunk_seconds': 3, 'num_freqs': 7, 'num_estimators': 32, 'max_depth': 32} 0.08418534664845731
2025-07-22 01:53:56.339617 13, {'chunk_seconds': 3, 'num_freqs': 7, 'num_estimators': 32, 'max_depth': 64} 0.0642840053455958
2025-07-22 01:57:17.584685 14, {'chunk_seconds': 2, 'num_freqs': 8, 'num_estimators': 32, 'max_depth': 128} 0.053056342540912085
2025-07-22 02:00:37.937406 15, {'chunk_seconds': 1, 'num_freqs': 10, 'num_estimators': 32, 'max_depth': 32} 0.06015750512705449
2025-07-22 02:03:58.238488 16, {'chunk_seconds': 3, 'num_freqs': 6, 'num_estimators': 16, 'max_depth': 64} 0.07375137036160882
2025-07-22 02:07:16.829143 17, {'chunk_seconds': 2, 'num_freqs': 8, 'num_estimators': 32, 'max_depth': 32} 0.08279179257192101
2025-07-22 02:10:37.282996 18, {'chunk_seconds': 2, 'num_freqs': 6, 'num_estimators': 32, 'max_depth': 32} 0.05675254796215026
2025-07-22 02:13:56.787852 19, {'chunk_seconds': 3, 'num_freqs': 8, 'num_estimators': 32, 'max_depth': 32} 0.06680426873614917
2025-07-22 02:17:17.531421 20, {'chunk_seconds': 2, 'num_freqs': 8, 'num_estimators': 64, 'max_depth': 32} 0.06923807615623127
2025-07-22 02:20:43.596059 21, {'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 32, 'max_depth': 64} 0.061631337730471504
2025-07-22 02:24:04.581264 22, {'chunk_seconds': 3, 'num_freqs': 8, 'num_estimators': 32, 'max_depth': 32} 0.07660444751798025
2025-07-22 02:27:25.281455 23, {'chunk_seconds': 1, 'num_freqs': 10, 'num_estimators': 32, 'max_depth': 128} 0.06744326001646628
2025-07-22 02:30:45.579082 24, {'chunk_seconds': 2, 'num_freqs': 7, 'num_estimators': 16, 'max_depth': 8} 0.047093783709767904
2025-07-22 02:34:04.936488 25, {'chunk_seconds': 2, 'num_freqs': 9, 'num_estimators': 32, 'max_depth': 64} 0.06850549747269168
2025-07-22 02:37:25.576533 26, {'chunk_seconds': 3, 'num_freqs': 6, 'num_estimators': 32, 'max_depth': 32} 0.07219709981156092
2025-07-22 02:40:45.387889 27, {'chunk_seconds': 1, 'num_freqs': 5, 'num_estimators': 32, 'max_depth': 32} 0.06325734897838693
2025-07-22 02:44:05.228577 28, {'chunk_seconds': 2, 'num_freqs': 8, 'num_estimators': 32, 'max_depth': 64} 0.059583022762657784
2025-07-22 02:47:25.754524 29, {'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 128, 'max_depth': 16} 0.0640704509374565
2025-07-22 02:50:52.099106 30, {'chunk_seconds': 2, 'num_freqs': 7, 'num_estimators': 64, 'max_depth': 8} 0.04644136765614969
2025-07-22 02:54:13.201172 31, {'chunk_seconds': 3, 'num_freqs': 8, 'num_estimators': 32, 'max_depth': 32} 0.07994925765246559
2025-07-22 02:57:34.071017 32, {'chunk_seconds': 3, 'num_freqs': 9, 'num_estimators': 32, 'max_depth': 32} 0.07273744400728259
2025-07-22 03:00:55.076058 33, {'chunk_seconds': 3, 'num_freqs': 8, 'num_estimators': 8, 'max_depth': 32} 0.0849641966690727
2025-07-22 03:04:13.309015 34, {'chunk_seconds': 3, 'num_freqs': 8, 'num_estimators': 8, 'max_depth': 32} 0.07893314238327326
2025-07-22 03:07:31.666732 35, {'chunk_seconds': 3, 'num_freqs': 6, 'num_estimators': 8, 'max_depth': 32} 0.09396380133697095
2025-07-22 03:10:50.038537 36, {'chunk_seconds': 3, 'num_freqs': 5, 'num_estimators': 8, 'max_depth': 32} 0.07355929751394462
2025-07-22 03:14:08.024917 37, {'chunk_seconds': 3, 'num_freqs': 6, 'num_estimators': 8, 'max_depth': 16} 0.06569897412548635
2025-07-22 03:17:26.459080 38, {'chunk_seconds': 3, 'num_freqs': 4, 'num_estimators': 8, 'max_depth': 32} 0.0822234996951891
2025-07-22 03:20:44.476852 39, {'chunk_seconds': 3, 'num_freqs': 5, 'num_estimators': 8, 'max_depth': 32} 0.0859646016126293
2025-07-22 03:24:02.006640 40, {'chunk_seconds': 3, 'num_freqs': 5, 'num_estimators': 8, 'max_depth': 8} 0.048489781532376756
2025-07-22 03:27:20.347520 41, {'chunk_seconds': 3, 'num_freqs': 3, 'num_estimators': 8, 'max_depth': 32} 0.06815802980311342
2025-07-22 03:30:37.906503 42, {'chunk_seconds': 3, 'num_freqs': 6, 'num_estimators': 8, 'max_depth': 32} 0.08769599652668271
2025-07-22 03:33:56.080397 43, {'chunk_seconds': 3, 'num_freqs': 4, 'num_estimators': 8, 'max_depth': 32} 0.06333267239687891
2025-07-22 03:37:14.496055 44, {'chunk_seconds': 3, 'num_freqs': 5, 'num_estimators': 8, 'max_depth': 32} 0.08062705362924348
2025-07-22 03:40:32.533176 45, {'chunk_seconds': 3, 'num_freqs': 6, 'num_estimators': 8, 'max_depth': 128} 0.06630201919015673
2025-07-22 03:43:50.833851 46, {'chunk_seconds': 3, 'num_freqs': 7, 'num_estimators': 8, 'max_depth': 32} 0.0816436484971705
2025-07-22 03:47:09.403098 47, {'chunk_seconds': 3, 'num_freqs': 3, 'num_estimators': 8, 'max_depth': 16} 0.06168906676302977
2025-07-22 03:50:27.592785 48, {'chunk_seconds': 3, 'num_freqs': 4, 'num_estimators': 8, 'max_depth': 32} 0.08426723890743015
2025-07-22 03:53:45.931299 49, {'chunk_seconds': 3, 'num_freqs': 4, 'num_estimators': 8, 'max_depth': 32} 0.07947347579857417
2025-07-22 03:57:04.145473 50, {'chunk_seconds': 3, 'num_freqs': 4, 'num_estimators': 8, 'max_depth': 32} 0.08128092966941863
2025-07-22 04:00:23.209130 51, {'chunk_seconds': 3, 'num_freqs': 5, 'num_estimators': 128, 'max_depth': 32} 0.07613437920452883
2025-07-22 04:03:50.587862 52, {'chunk_seconds': 3, 'num_freqs': 2, 'num_estimators': 8, 'max_depth': 32} 0.08145907196277151
2025-07-22 04:07:08.938730 53, {'chunk_seconds': 3, 'num_freqs': 6, 'num_estimators': 16, 'max_depth': 32} 0.07460095942458901
2025-07-22 04:10:27.593078 54, {'chunk_seconds': 3, 'num_freqs': 7, 'num_estimators': 8, 'max_depth': 32} 0.08096504029731846
2025-07-22 04:13:45.877488 55, {'chunk_seconds': 3, 'num_freqs': 6, 'num_estimators': 8, 'max_depth': 128} 0.06391151366990071
2025-07-22 04:17:03.759963 56, {'chunk_seconds': 3, 'num_freqs': 5, 'num_estimators': 64, 'max_depth': 32} 0.06900773325315455
2025-07-22 04:20:26.081066 57, {'chunk_seconds': 3, 'num_freqs': 7, 'num_estimators': 8, 'max_depth': 32} 0.0682341479435551
2025-07-22 04:23:44.156459 58, {'chunk_seconds': 3, 'num_freqs': 6, 'num_estimators': 16, 'max_depth': 8} 0.04327169847930078
2025-07-22 04:27:02.832062 59, {'chunk_seconds': 3, 'num_freqs': 2, 'num_estimators': 128, 'max_depth': 32} 0.07182939054945271
2025-07-22 04:30:32.153804 60, {'chunk_seconds': 3, 'num_freqs': 7, 'num_estimators': 8, 'max_depth': 32} 0.06689822153178787
2025-07-22 04:33:50.575679 61, {'chunk_seconds': 2, 'num_freqs': 8, 'num_estimators': 8, 'max_depth': 32} 0.0760790304788679
2025-07-22 04:37:08.886764 62, {'chunk_seconds': 2, 'num_freqs': 7, 'num_estimators': 64, 'max_depth': 32} 0.06138342763849696
2025-07-22 04:40:32.056813 63, {'chunk_seconds': 2, 'num_freqs': 6, 'num_estimators': 8, 'max_depth': 32} 0.057546998748981254
2025-07-22 04:43:50.385060 64, {'chunk_seconds': 2, 'num_freqs': 8, 'num_estimators': 8, 'max_depth': 32} 0.08086149119008625
2025-07-22 04:47:08.774178 65, {'chunk_seconds': 2, 'num_freqs': 5, 'num_estimators': 32, 'max_depth': 16} 0.06219808730278498
2025-07-22 04:50:28.526389 66, {'chunk_seconds': 3, 'num_freqs': 6, 'num_estimators': 16, 'max_depth': 32} 0.06383877930241433
2025-07-22 04:53:46.831034 67, {'chunk_seconds': 2, 'num_freqs': 7, 'num_estimators': 128, 'max_depth': 128} 0.06114932032357448
2025-07-22 04:57:16.174327 68, {'chunk_seconds': 3, 'num_freqs': 9, 'num_estimators': 32, 'max_depth': 64} 0.06919950754330519
2025-07-22 05:00:36.575517 69, {'chunk_seconds': 3, 'num_freqs': 7, 'num_estimators': 8, 'max_depth': 32} 0.06042863838739052
2025-07-22 05:03:54.665003 70, {'chunk_seconds': 2, 'num_freqs': 8, 'num_estimators': 32, 'max_depth': 32} 0.05694983880382074
2025-07-22 05:07:15.569661 71, {'chunk_seconds': 3, 'num_freqs': 4, 'num_estimators': 8, 'max_depth': 32} 0.0745754253729006
2025-07-22 05:10:33.008129 72, {'chunk_seconds': 3, 'num_freqs': 4, 'num_estimators': 8, 'max_depth': 32} 0.08875069060084696
